no,CigCon,YoS,Age,Linc,Sex,CigPri,LCigPri,CigRes
1,0,16,46,2.0548,Male,30.3,3.41,No
2,0,16,40,2.2848,Male,28.9,3.37,No
3,3,12,58,2.33,Male,28.8,3.36,No
4,0,13.5,30,1.5436,Male,28.9,3.37,No
5,0,10,17,1.5362,Male,29.2,3.37,No
6,0,6,86,1.8062,Male,29.7,3.39,No
7,0,12,35,2.9181,Male,28.9,3.37,No
8,0,15,48,3.0759,Male,28.9,3.37,No
9,0,12,48,3.5764,Male,29.6,3.39,No
10,0,12,31,4.7408,Male,29,3.37,No
11,10,13.5,27,2.9388,Male,28.9,3.37,No
12,20,12,24,1.2344,Male,30.1,3.41,No
13,30,10,71,1.0451,Male,28.9,3.37,No
14,0,6,44,3.0718,Male,29,3.37,No
15,0,16,22,3.9662,Male,30.4,3.41,No
16,20,12,29,2.4219,Male,30,3.4,No
17,0,12,33,3.4798,Male,30.1,3.41,No
18,30,12,34,3.1727,Male,30.4,3.41,No
19,0,13.5,30,5.6573,Male,29.9,3.4,No
20,20,10,48,1.2315,Female,30.2,3.41,No
21,0,6,61,2.5652,Male,29.5,3.39,No
22,0,18,49,1.6615,Male,30.2,3.41,No
23,0,12,33,3.2934,Male,29.5,3.39,No
24,0,16,24,3.8073,Male,30.3,3.41,Yes
25,0,16,36,3.1785,Male,30.9,3.43,Yes
26,12,15,39,3.3728,Male,30.4,3.42,Yes
27,0,18,38,3.5103,Male,30.7,3.42,Yes
28,30,12,29,2.666,Male,30.4,3.41,Yes
29,0,18,23,2.8928,Male,31,3.43,Yes
30,0,16,51,1.8971,Female,30.7,3.42,Yes
31,0,13.5,28,2.574,Male,31,3.44,Yes
32,30,10,47,2.3722,Male,30.5,3.42,Yes
33,0,10,80,1.3602,Male,31.2,3.44,Yes
34,2,10,62,3.3894,Male,30.8,3.43,Yes
35,0,10,51,2.4664,Male,31,3.43,Yes
36,35,10,51,-0.0613,Male,30.8,3.43,Yes
37,0,12,69,2.7052,Male,30.5,3.42,Yes
38,0,12,28,1.044,Male,30.6,3.42,Yes
39,0,18,38,3.5743,Male,31,3.43,Yes
40,0,15,30,1.7397,Male,30.6,3.42,Yes
41,25,18,32,1.8001,Male,30.4,3.42,Yes
42,0,8,71,1.4789,Female,30.8,3.43,Yes
43,0,10,18,2.4519,Male,31.2,3.44,Yes
44,15,13.5,26,2.9422,Male,31,3.44,Yes
45,20,10,30,2.1563,Male,30.9,3.43,Yes
46,0,12,19,0.2557,Male,30.3,3.41,Yes
47,20,12,19,0.3006,Male,30.6,3.42,Yes
48,0,13.5,21,2.328,Male,30.6,3.42,Yes
49,0,16,44,3.2708,Male,31,3.44,Yes
50,30,10,69,0.654,Male,30.3,3.41,Yes
51,0,16,53,2.6667,Male,30.3,3.41,Yes
52,20,8,53,2.1131,Male,31.1,3.44,Yes
53,10,6,38,3.0408,Male,30.9,3.43,Yes
54,20,10,49,0.8306,Male,30.3,3.41,Yes
55,0,18,24,3.8638,Male,30.7,3.42,Yes
56,0,16,57,3.1708,Male,30.7,3.42,Yes
57,0,15,28,2.3116,Male,30.6,3.42,Yes
58,20,12,32,1.6359,Male,30.6,3.42,Yes
59,0,13.5,55,4.6483,Male,30.4,3.41,Yes
60,0,13.5,47,1.9527,Male,30.3,3.41,Yes
61,0,13.5,26,5.1361,Male,30.4,3.41,Yes
62,20,10,26,2.068,Male,30.3,3.41,Yes
63,0,16,61,3.2809,Female,30.4,3.41,Yes
64,0,10,48,3.4493,Male,30.3,3.41,Yes
65,0,18,32,3.9953,Male,31.4,3.45,Yes
66,0,16,29,4.99,Male,31,3.44,Yes
67,0,18,47,3.751,Female,31.3,3.44,Yes
68,0,10,62,0.9757,Female,30.4,3.41,Yes
69,0,16,30,3.4852,Female,31.1,3.44,Yes
70,0,13.5,21,2.6155,Male,30.8,3.43,Yes
71,0,12,28,2.4717,Male,30.6,3.42,Yes
72,20,12,50,3.9152,Male,30.5,3.42,Yes
73,0,12,69,2.4787,Male,30.7,3.43,Yes
